地名,センター,もえるごみ,もえないごみ,容器包装・資源ごみ,粗大ごみ
山森,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
原,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
七野,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
東荒屋,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
明神,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
井野河内,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
大坪,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
別所,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
下藤又,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
仮生,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
材木,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
下中,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
朝日畑,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
相窪,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
南横根,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
北横根,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
大窪,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
上藤又,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
常徳,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
舟尾,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
旭山,クリーンセンタ(エコラ)/リサイクルプラザ,月 木,20150424 20150522 20150626 20150724 20150828 20150925 20151023 20151127 20151225 20150129 20150226 20150325,水1,水3
南中条,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150404 20150502 20150606 20150704 20150801 20150905 20151003 20151107 20151205 20150109 20150206 20150305,水2,水4
北中条,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150404 20150502 20150606 20150704 20150801 20150905 20151003 20151107 20151205 20150109 20150206 20150305,水2,水4
太田,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150404 20150502 20150606 20150704 20150801 20150905 20151003 20151107 20151205 20150109 20150206 20150305,水2,水4
潟端,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150404 20150502 20150606 20150704 20150801 20150905 20151003 20151107 20151205 20150109 20150206 20150305,水2,水4
浅田,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150404 20150502 20150606 20150704 20150801 20150905 20151003 20151107 20151205 20150109 20150206 20150305,水2,水4
浅谷,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150404 20150502 20150606 20150704 20150801 20150905 20151003 20151107 20151205 20150109 20150206 20150305,水2,水4
川尻,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
中橋,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
五反田,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
中須加,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
井上の荘,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
舟橋,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
加茂,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
能瀬,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
領家,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
谷内,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
御門,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
御門出町,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
下矢田,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
上矢田,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
中山,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
種,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
小熊,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
池ヶ原,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
興津,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
菩提寺,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
平野,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
上大田,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
下河合,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
上河合,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
瓜生,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
牛首,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
木窪,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
大熊,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
八ノ谷,クリーンセンタ(エコラ)/リサイクルプラザ,火 金,20150411 20150509 20150613 20150711 20150808 20150912 20151010 20151114 20151212 20150116 20150213 20150312,水2,水4
